ISO,countryName,immediateRelative,familySponsored,employmentBased,refugeeAsylee,diversityLottery,otherLPR,adoptedOrphans,total,countryNote
AFG,Afghanistan,699,271,66,520,64,576,0,2196,
ALB,Albania,1565,359,92,227,938,5,0,3186,
DZA,Algeria,423,75,65,45,628,5,0,1241,
AGO,Angola,69,23,6,31,14,0,0,143,
AIA,Anguilla,dw,12,dw,0,0,1,0,22,
ATG,Antigua and Barbuda,180,144,6,4,9,1,0,344,
ARG,Argentina,2414,314,1296,245,38,65,0,4372,
ARM,Armenia,1165,238,121,387,803,8,13,2722,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
ABW,Aruba,102,37,28,0,0,1,0,173,"Includes data for the Netherlands Antilles (dissolved in 2010), which accounted for less than 0.1% of global US immigration in this year. The included former country's data accounts for approximately 74% of the displayed Aruban data."
AUS,Australia,1451,56,868,dw,368,dw,0,2759,
AUT,Austria,209,13,143,5,38,7,0,415,
AZE,Azerbaijan,283,54,54,109,131,6,0,637,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
BHS,Bahamas,458,73,61,13,15,10,0,630,
BHR,Bahrain,32,12,47,12,12,0,0,115,
BGD,Bangladesh,4701,6272,740,245,92,49,16,12099,
BRB,Barbados,246,140,dw,dw,0,0,0,428,
BLR,Belarus,656,97,188,335,682,12,0,1970,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
BEL,Belgium,292,20,298,10,50,5,0,675,
BLZ,Belize,561,299,53,8,10,15,12,946,
BEN,Benin,183,15,4,18,117,5,0,342,
BMU,Bermuda,55,13,17,0,0,3,0,88,
BTN,Bhutan,24,5,9,8911,4,1,0,8954,
BOL,Bolivia,1129,485,326,72,30,29,0,2071,
BIH,Bosnia and Herzegovina,449,37,61,111,39,0,0,697,
BWA,Botswana,27,dw,18,5,dw,0,0,53,
BRA,Brazil,7273,549,2801,265,9,136,17,11033,
VGB,British Virgin Islands,26,16,3,0,0,0,0,45,
BRN,Brunei,4,dw,13,0,0,0,0,21,
BGR,Bulgaria,1454,122,404,58,798,8,150,2844,
BFA,Burkina Faso,288,20,24,134,115,4,0,585,
MMR,Burma,687,476,101,11110,190,1,0,12565,
BDI,Burundi,39,9,8,184,20,0,0,260,
KHM,Cambodia,1782,381,50,60,340,11,0,2624,
CMR,Cameroon,1212,253,119,1165,1153,6,0,3908,
CAN,Canada,6088,608,6120,26,61,278,0,13181,
CPV,Cabo Verde,787,871,8,0,3,4,0,1673,
CYM,Cayman Islands,28,9,3,dw,dw,0,0,44,
CAF,Central African Republic,18,9,4,179,dw,dw,0,213,
TCD,Chad,23,7,dw,72,6,dw,0,111,
CHL,Chile,1067,208,381,49,14,17,0,1736,
CHN,China,24135,13109,20245,14146,26,137,2268,71798,
COL,Colombia,12709,5322,1812,1170,8,110,142,21131,
COD,Democratic Republic of the Congo,421,68,35,1190,1076,2,195,2792,
COG,Republic of the Congo,201,38,12,294,509,5,77,1059,
CRI,Costa Rica,1564,249,211,47,21,22,10,2114,
CIV,Cote d'Ivoire,642,131,62,379,235,37,0,1486,
HRV,Croatia,219,16,78,23,16,1,0,353,
CUB,Cuba,3110,2492,12,26407,194,4,0,32219,
CYP,Cyprus,58,dw,54,dw,7,1,0,126,
CZE,Czechia,506,27,165,8,28,10,0,750,"Includes data for Czechoslovakia (dissolved in 1993), which accounted for less than 0.01% of global US immigration in this year. The included Czechoslovakian data accounts for approximately 10% of the displayed Czech data."
DNK,Denmark,237,17,239,dw,9,dw,0,506,
DJI,Djibouti,20,dw,dw,58,7,0,0,90,
DMA,Dominica,76,155,6,0,6,1,0,244,
DOM,Dominican Republic,18568,22147,380,90,26,100,14,41311,
ECU,Ecuador,5173,4095,927,158,dw,dw,11,10591,
EGY,Egypt,3218,813,814,2321,3101,27,0,10294,
SLV,El Salvador,7449,8232,813,425,0,1341,0,18260,
GNQ,Equatorial Guinea,12,dw,dw,3,0,0,0,18,
ERI,Eritrea,501,139,31,1303,163,1,0,2138,
EST,Estonia,133,15,36,10,16,1,0,211,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
ETH,Ethiopia,5331,1390,251,3858,2255,12,910,13097,
FJI,Fiji,375,225,29,36,226,4,0,895,
FIN,Finland,137,5,161,dw,23,dw,0,331,
FRA,France,1896,153,2086,27,250,13,0,4425,
GAB,Gabon,77,3,6,33,7,1,0,127,
GMB,Gambia,644,76,24,237,4,33,0,1018,
GEO,Georgia,734,75,92,96,354,17,0,1368,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
DEU,Germany,3331,141,1927,50,558,25,0,6032,
GHA,Ghana,6407,1324,451,73,1989,21,157,10265,
GRC,Greece,914,65,288,18,73,3,0,1361,
GRD,Grenada,413,235,30,dw,dw,6,0,687,
GTM,Guatemala,3945,3700,778,734,dw,dw,21,10224,
GIN,Guinea,423,77,25,780,174,39,0,1518,
GNB,Guinea-Bissau,29,dw,4,dw,5,1,0,43,
GUY,Guyana,2164,3569,132,9,12,11,36,5897,
HTI,Haiti,8142,9908,113,1997,0,191,327,20351,
HND,Honduras,4591,3133,623,243,29,279,15,8898,
HKG,Hong Kong,671,768,738,12,31,6,17,2226,
HUN,Hungary,640,39,253,10,106,4,23,1052,
ISL,Iceland,49,dw,77,0,10,dw,0,139,
IND,India,19756,11943,35720,754,39,246,112,68458,
IDN,Indonesia,1340,265,657,338,112,19,0,2731,
IRN,Iran,3054,2272,1584,2481,3447,25,0,12863,
IRQ,Iraq,668,266,96,6804,39,1679,0,9552,
IRL,Ireland,920,36,614,dw,50,dw,0,1626,
ISR,Israel,2078,212,1509,38,124,35,0,3996,
ITA,Italy,1564,111,1038,69,168,10,0,2960,
JAM,Jamaica,12510,6095,679,64,dw,dw,70,19400,
JPN,Japan,3115,140,2343,10,294,23,21,5925,
JOR,Jordan,2393,1255,282,167,77,14,0,4188,
KAZ,Kazakhstan,601,47,145,164,271,13,0,1241,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
KEN,Kenya,2927,379,586,1307,903,21,0,6123,
PRK,North Korea,12,7,17,12,0,0,0,48,
KOR,South Korea,6978,1795,14300,19,16,58,176,23166,
KOS,Kosovo,436,92,23,166,122,0,0,839,
KWT,Kuwait,371,207,214,66,74,5,0,937,
KGZ,Kyrgyzstan,214,16,40,199,175,8,0,652,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
LAO,Laos,681,88,26,124,dw,dw,0,923,
LVA,Latvia,287,23,53,11,45,5,65,424,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
LBN,Lebanon,1372,777,455,97,69,13,0,2783,
LSO,Lesotho,9,0,5,dw,dw,0,0,20,
LBR,Liberia,1238,397,34,761,896,8,11,3334,
LBY,Libya,173,21,45,91,46,0,0,376,
LTU,Lithuania,553,58,88,14,138,3,11,854,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
LUX,Luxembourg,21,dw,11,dw,5,0,0,40,
MAC,Macau,dw,49,24,0,dw,0,0,106,
MKD,Macedonia,560,113,57,32,128,5,0,895,
MDG,Madagascar,49,dw,21,dw,18,0,0,95,
MWI,Malawi,103,8,32,7,7,2,0,159,
MYS,Malaysia,609,186,771,874,30,7,0,2477,
MLI,Mali,369,39,25,182,17,35,0,667,
