ISO,countryName,immediateRelative,familySponsored,employmentBased,refugeeAsylee,diversityLottery,other,adoptedOrphans,total,countryNote
AFG,Afghanistan,517,143,16,4049,16,8,0,4749,
ALB,Albania,2036,125,207,1137,2438,4,10,5947,
DZA,Algeria,404,26,133,206,341,5,0,1115,
ASM,American Samoa,dw,dw,0,0,0,0,0,15,
AGO,Angola,74,18,35,58,3,0,0,188,
AIA,Anguilla,19,11,5,0,0,0,0,35,
ATG,Antigua and Barbuda,240,173,20,0,dw,dw,0,440,
ARG,Argentina,3129,195,3382,279,69,27,0,7081,
ARM,Armenia,750,131,237,811,580,82,23,2591,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.3% of global US immigration in this year. See Russia for inclusion of this data."
ABW,Aruba,99,0,31,0,0,0,0,158,"Includes data for the Netherlands Antilles (dissolved in 2010), which accounted for less than 0.1% of global US immigration in this year. The included former country's data accounts for approximately 73.5% of the displayed Aruban data."
AUS,Australia,1489,69,1383,3,239,10,0,3193,
AUT,Austria,220,dw,236,32,32,dw,0,532,
AZE,Azerbaijan,253,21,64,938,162,85,0,1523,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.3% of global US immigration in this year. See Russia for inclusion of this data."
BHS,Bahamas,473,79,104,5,11,26,0,698,
BHR,Bahrain,47,23,67,dw,dw,0,0,140,
BGD,Bangladesh,4625,3118,1520,405,1753,66,10,11487,
BRB,Barbados,538,199,104,0,dw,dw,0,846,
BLR,Belarus,660,53,292,1677,604,217,23,3503,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.3% of global US immigration in this year. See Russia for inclusion of this data."
BEL,Belgium,333,dw,471,20,18,dw,0,859,
BLZ,Belize,597,204,63,dw,dw,9,14,876,
BEN,Benin,72,dw,15,32,66,dw,0,193,
BMU,Bermuda,76,5,35,0,0,0,0,116,
BTN,Bhutan,13,0,11,6,0,0,0,30,
BOL,Bolivia,1210,244,654,23,45,21,0,2197,
BIH,Bosnia and Herzegovina,650,dw,71,13298,44,dw,0,14074,
BWA,Botswana,22,dw,24,3,dw,dw,0,54,
BRA,Brazil,7105,335,8866,99,170,89,65,16664,
VGB,British Virgin Islands,23,12,dw,0,0,0,0,41,
BRN,Brunei,6,9,25,4,5,0,0,49,
BGR,Bulgaria,1713,80,792,163,2854,33,29,5635,
BFA,Burkina Faso,94,dw,12,dw,16,0,0,128,
MMR,Burma,371,362,149,931,279,3,0,2095,
BDI,Burundi,16,0,dw,162,dw,0,0,186,
KHM,Cambodia,2244,604,60,302,42,770,0,4022,
CMR,Cameroon,605,40,148,249,410,6,0,1458,
CAN,Canada,8483,761,12296,28,72,238,0,21878,
CPV,Cape Verde,698,485,29,dw,0,dw,0,1225,
CYM,Cayman Islands,28,4,5,0,0,0,0,37,
CAF,Central African Republic,12,0,7,dw,dw,0,0,24,
TCD,Chad,7,4,0,16,4,0,0,31,
CHL,Chile,1316,211,759,73,16,29,0,2404,
CHN,China,26852,17082,20626,5335,32,40,7939,69967,
COL,Colombia,15413,2725,5976,1270,12,175,302,25571,
COD,Congo (Kinshasa),29,6,29,190,dw,dw,0,260,
COG,Congo (Brazzaville),179,dw,70,623,169,dw,10,1064,
CRI,Costa Rica,1586,178,437,51,8,18,0,2278,
CIV,Cote d'Ivoire,516,32,74,237,58,13,0,930,
