ISO,countryName,immediateRelative,familySponsored,employmentBased,refugeeAsylee,diversityLottery,otherLPR,adoptedOrphans,total,countryNote
AFG,Afghanistan,961,260,46,519,54,177,0,2017,
ALB,Albania,2031,315,91,629,1638,7,0,4711,
DZA,Algeria,441,31,53,32,743,5,0,1305,
ASM,American Samoa,dw,0,0,0,dw,0,0,14,
AGO,Angola,77,14,14,30,13,0,0,148,
AIA,Anguilla,15,4,0,0,0,0,0,19,
ATG,Antigua and Barbuda,234,107,12,0,5,1,0,359,
ARG,Argentina,2509,188,1336,241,77,48,0,4399,
ARM,Armenia,951,175,149,654,1018,32,18,2979,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
ABW,Aruba,84,10,7,0,0,1,0,126,"Includes data for the Netherlands Antilles (dissolved in 2010), which accounted for less than 0.01% of global US immigration in this year. The included former country's data accounts for approximately 61% of the displayed Aruban data."
AUS,Australia,1454,58,735,3,246,16,0,2512,
AUT,Austria,221,23,127,6,58,7,0,442,
AZE,Azerbaijan,324,55,44,135,211,12,0,781,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
BHS,Bahamas,488,85,41,7,13,18,0,652,
BHR,Bahrain,42,16,42,dw,dw,1,0,104,
BGD,Bangladesh,4935,6006,827,171,2800,80,12,14819,
BRB,Barbados,285,111,48,dw,16,dw,0,465,
BLR,Belarus,697,69,162,291,725,94,0,2038,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
BEL,Belgium,253,17,262,9,49,2,0,592,
BLZ,Belize,687,212,46,4,7,9,0,965,
BEN,Benin,175,3,19,64,222,3,0,486,
BMU,Bermuda,59,6,7,0,0,0,0,72,
BTN,Bhutan,28,dw,6,6071,dw,0,0,6109,
BOL,Bolivia,1307,267,484,107,68,20,0,2253,
BIH,Bosnia and Herzegovina,623,23,41,227,32,0,0,946,
BWA,Botswana,27,dw,17,13,dw,0,0,66,
BRA,Brazil,8291,305,3208,334,10,110,24,12258,
VGB,British Virgin Islands,29,14,3,0,0,0,0,46,
BRN,Brunei,9,dw,6,dw,0,0,0,20,
BGR,Bulgaria,1398,125,344,126,560,17,39,2570,
BFA,Burkina Faso,202,13,12,52,90,8,0,377,
MMR,Burma,604,459,86,11445,329,2,0,12925,
BDI,Burundi,22,3,15,765,34,2,0,841,
KHM,Cambodia,2266,418,59,113,115,15,0,2986,
CMR,Cameroon,1075,106,83,1339,1548,10,11,4161,
CAN,Canada,6659,628,5731,35,80,195,0,13328,
CPV,Cabo Verde,903,737,20,0,3,5,0,1668,
CYM,Cayman Islands,41,8,3,0,0,0,0,52,
CAF,Central African Republic,23,dw,0,72,dw,0,0,101,
TCD,Chad,21,dw,dw,78,10,8,0,120,
CHL,Chile,1253,199,390,75,10,23,0,1950,
CHN,China,24198,13610,17949,14943,23,140,3361,70863,
COL,Colombia,14113,3297,2374,2516,9,97,233,22406,
COD,Democratic Republic of the Congo (Kinshasa),142,12,25,1033,549,3,25,1764,
COG,Republic of the Congo (Brazzaville),194,12,26,510,218,8,0,968,
CRI,Costa Rica,1611,166,299,53,17,18,0,2164,
CIV,Cote d'Ivoire,527,37,60,671,269,57,0,1621,
HRV,Croatia,215,23,73,19,25,2,0,357,
CUB,Cuba,3153,455,8,29804,125,28,0,33573,
CYP,Cyprus,69,4,32,dw,14,dw,0,122,
CZE,Czechia,637,15,234,13,39,2,0,940,"Includes data for Czechoslovakia (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. The included Czechoslovakian data accounts for approximately 80% of the displayed Czech data."
DNK,Denmark,247,14,224,0,29,4,0,518,
DJI,Djibouti,26,0,dw,6,dw,0,0,37,
DMA,Dominica,287,76,3,0,0,0,0,366,
DOM,Dominican Republic,22218,31089,396,72,16,79,0,53870,
ECU,Ecuador,6173,3382,1674,113,0,150,11,11492,
EGY,Egypt,3321,786,802,593,3447,29,0,8978,
SLV,El Salvador,7649,7315,1107,dw,dw,2279,10,18806,
GNQ,Equatorial Guinea,dw,0,0,dw,0,0,0,12,
ERI,Eritrea,391,52,45,781,386,1,0,1656,
