ISO,countryName,immediateRelative,familySponsored,employmentBased,refugeeAsylee,diversityLottery,otherLPR,adoptedOrphans,total,countryNote
AFG,Afghanistan,729,195,29,503,19,142,0,1617,
ALB,Albania,2217,231,75,291,542,8,0,3364,
DZA,Algeria,539,48,57,33,688,4,0,1369,
AGO,Angola,114,22,5,32,14,0,0,187,
AIA,Anguilla,dw,11,dw,0,0,0,0,23,
ATG,Antigua and Barbuda,222,100,15,0,0,0,0,337,
ARG,Argentina,2648,176,1204,261,45,25,0,4359,
ARM,Armenia,1158,132,145,521,710,15,19,2681,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
ABW,Aruba,88,6,45,0,0,0,0,160,"Includes data for the Netherlands Antilles (dissolved in 2010), which accounted for less than 0.1% of global US immigration in this year. The included former country's data accounts for approximately 66% of the displayed Aruban data."
AUS,Australia,1311,42,805,0,246,10,0,2414,
AUT,Austria,213,15,140,dw,33,dw,0,407,
AZE,Azerbaijan,299,72,44,101,140,7,0,663,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
BHS,Bahamas,504,57,40,dw,dw,9,0,619,
BHR,Bahrain,51,16,28,5,4,0,0,104,
BGD,Bangladesh,5758,7357,549,149,827,65,17,14705,
BRB,Barbados,311,94,48,dw,3,dw,0,460,
BLR,Belarus,695,76,143,300,416,29,0,1659,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
BEL,Belgium,256,19,237,11,48,3,0,574,
BLZ,Belize,601,204,32,dw,dw,6,0,847,
BEN,Benin,229,7,dw,18,154,dw,0,415,
BMU,Bermuda,52,dw,20,0,0,dw,0,85,
BTN,Bhutan,19,0,4,10171,4,0,0,10198,
BOL,Bolivia,1290,238,286,104,19,11,0,1948,
BIH,Bosnia and Herzegovina,536,22,58,167,32,0,0,815,
BWA,Botswana,35,dw,21,15,4,dw,0,80,
BRA,Brazil,8167,329,2615,235,11,84,24,11441,
VGB,British Virgin Islands,24,12,0,0,0,3,0,39,
BRN,Brunei,dw,dw,14,0,0,0,0,19,
