ISO,countryName,immediateRelative,familySponsored,employmentBased,refugeeAsylee,diversityLottery,other,adoptedOrphans,total,countryNote
AFG,Afghanistan,913,322,934,950,38,8,0,3165,
ALB,Albania,1945,173,92,966,1948,13,0,5137,
DZA,Algeria,449,41,85,62,837,11,0,1485,
ASM,American Samoa,15,dw,dw,0,0,1,0,19,
AGO,Angola,92,20,13,42,6,0,0,173,
AIA,Anguilla,11,dw,dw,0,0,0,0,21,
ATG,Antigua and Barbuda,295,134,dw,0,dw,1,0,437,
ARG,Argentina,3413,160,1635,498,52,22,0,5780,
ARM,Armenia,1044,160,190,1100,911,37,20,3442,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.6% of global US immigration in this year. See Russia for inclusion of this data."
ABW,Aruba,96,13,13,0,10,0,0,135,"Includes data for the Netherlands Antilles (dissolved in 2010), which accounted for less than 0.01% of global US immigration in this year. The included former country's data accounts for approximately 72% of the displayed Aruban data."
AUS,Australia,1616,51,759,4,187,5,0,2622,
AUT,Austria,256,14,169,17,50,6,0,512,
AZE,Azerbaijan,280,36,55,299,152,12,0,834,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.6% of global US immigration in this year. See Russia for inclusion of this data."
BHS,Bahamas,594,85,49,5,3,15,0,751,
BHR,Bahrain,41,13,60,dw,dw,0,0,120,
BGD,Bangladesh,5128,7326,957,232,2928,80,13,16651,
BRB,Barbados,411,140,47,0,3,2,0,603,
BLR,Belarus,744,55,205,623,664,116,0,2407,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.6% of global US immigration in this year. See Russia for inclusion of this data."
BEL,Belgium,323,16,291,13,42,1,0,686,
BLZ,Belize,742,244,42,3,3,7,0,1041,
BEN,Benin,170,dw,16,50,161,dw,0,401,
BMU,Bermuda,83,3,21,0,0,1,0,108,
BTN,Bhutan,14,0,9,565,6,0,0,594,
BOL,Bolivia,1715,332,563,169,46,12,0,2837,
BIH,Bosnia and Herzegovina,728,20,98,596,53,6,0,1501,
BWA,Botswana,31,3,10,6,5,0,0,55,
BRA,Brazil,10658,262,3292,422,6,61,33,14701,
VGB,British Virgin Islands,21,20,4,0,0,1,0,46,
BRN,Brunei,8,3,12,dw,dw,0,0,26,
BGR,Bulgaria,1625,84,444,200,765,15,15,3133,
BFA,Burkina Faso,224,4,20,68,94,6,0,416,
MMR,Burma,628,399,111,12221,258,4,0,13621,
BDI,Burundi,33,0,5,1442,20,5,0,1505,
KHM,Cambodia,3063,383,63,166,72,24,0,3771,
CMR,Cameroon,973,54,122,912,1386,16,0,3463,
CAN,Canada,8203,635,6927,38,67,270,0,16140,
CPV,Cape Verde,1327,880,17,3,8,3,0,2238,
CYM,Cayman Islands,32,dw,7,dw,dw,0,0,45,
CAF,Central African Republic,20,0,dw,84,dw,0,0,107,
TCD,Chad,24,0,4,61,12,1,0,102,
CHL,Chile,1531,144,435,112,19,9,0,2250,
CHN,China,23244,11013,11295,18486,28,172,2990,64238,
COL,Colombia,17551,3127,2850,4227,10,84,237,27849,
COD,Congo (Kinshasa),99,17,34,1550,419,3,0,2122,
COG,Congo (Brazzaville),198,20,26,1013,300,6,13,1563,
CRI,Costa Rica,1918,134,227,95,dw,dw,0,2384,
CIV,Cote d'Ivoire,656,46,47,1120,207,83,0,2159,
HRV,Croatia,263,11,105,81,33,3,0,496,
CUB,Cuba,3385,1022,13,34301,183,50,0,38954,
CYP,Cyprus,69,10,55,dw,dw,0,0,142,
CZE,Czechia,751,22,180,17,35,6,0,1011,"Includes data for Czechoslovakia (dissolved in 1993), which accounted for less than 0.1% of global US immigration in this year. The included Czechoslovakian data accounts for approximately 85.5% of the displayed Czech data."
DNK,Denmark,270,8,304,dw,17,dw,0,603,
DJI,Djibouti,24,dw,dw,14,dw,0,0,54,
DMA,Dominica,383,88,dw,dw,9,1,0,484,
DOM,Dominican Republic,28212,20611,408,135,16,32,12,49414,
ECU,Ecuador,7349,3098,1339,250,18,74,14,12128,
EGY,Egypt,3175,668,755,867,3336,43,0,8844,
SLV,El Salvador,8628,6823,836,705,0,2917,10,19909,
GNQ,Equatorial Guinea,dw,0,dw,23,0,0,0,32,
ERI,Eritrea,365,57,63,1146,293,4,11,1928,
EST,Estonia,172,15,32,39,18,6,0,282,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.6% of global US immigration in this year. See Russia for inclusion of this data."
ETH,Ethiopia,6503,560,169,4382,3829,19,2221,15462,
FJI,Fiji,532,222,21,134,282,3,0,1194,
FIN,Finland,218,8,174,4,18,1,0,423,
FRA,France,2043,89,2061,43,241,14,0,4491,
GUF,French Guiana,12,dw,dw,0,0,0,0,18,
PYF,French Polynesia,27,0,3,0,0,0,0,30,
GAB,Gabon,84,0,10,69,8,0,0,171,
GMB,Gambia,656,26,37,195,13,51,0,978,
GEO,Georgia,755,19,135,348,306,15,0,1578,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.6% of global US immigration in this year. See Russia for inclusion of this data."
DEU,Germany,4118,185,2251,89,908,32,0,7583,
GHA,Ghana,5455,404,369,342,1819,12,104,8401,
GRC,Greece,506,28,169,18,71,6,0,798,
GRD,Grenada,559,157,28,dw,dw,dw,0,748,
GLP,Guadeloupe,23,dw,dw,0,dw,0,0,32,
GTM,Guatemala,5587,2791,700,1002,0,2107,773,12187,
GIN,Guinea,424,15,32,1099,100,55,0,1725,
GNB,Guinea-Bissau,17,0,0,3,0,0,0,20,
GUY,Guyana,3140,3298,161,28,24,19,36,6670,
HTI,Haiti,11021,7133,149,5402,0,575,336,24280,
HND,Honduras,3737,1772,463,245,12,175,0,6404,
HKG,Hong Kong,842,1101,657,7,37,7,12,2651,
HUN,Hungary,912,29,244,12,108,9,0,1314,
ISL,Iceland,70,dw,56,0,dw,0,0,131,
IND,India,21532,12911,20264,2228,63,306,298,57304,
IDN,Indonesia,1627,189,626,1086,111,40,0,3679,
IRN,Iran,4054,2410,1200,9804,1057,28,0,18553,
IRQ,Iraq,1251,488,2347,7948,64,12,0,12110,
IRL,Ireland,1066,10,494,3,53,11,0,1637,
ISR,Israel,3169,216,2034,87,84,22,0,5612,
ITA,Italy,1699,111,845,54,167,16,0,2892,
JAM,Jamaica,16290,4833,593,24,6,37,52,21783,
JPN,Japan,4832,105,2502,18,217,16,43,7690,
JOR,Jordan,2728,1077,178,228,51,20,0,4282,
KAZ,Kazakhstan,907,22,129,269,159,76,298,1562,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.6% of global US immigration in this year. See Russia for inclusion of this data."
KEN,Kenya,3146,190,521,3677,2324,22,20,9880,
KIR,Kiribati,6,0,0,0,4,0,0,10,
PRK,North Korea,21,dw,dw,42,0,0,0,67,
KOR,South Korea,9990,1660,14147,12,7,43,1106,25859,
KWT,Kuwait,526,278,165,116,37,2,0,1124,
KGZ,Kyrgyzstan,247,5,26,128,126,42,18,574,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.6% of global US immigration in this year. See Russia for inclusion of this data."
LAO,Laos,1108,80,69,427,dw,dw,0,1688,
LVA,Latvia,306,7,39,51,30,11,27,444,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.6% of global US immigration in this year. See Russia for inclusion of this data."
LBN,Lebanon,2056,977,574,137,82,5,10,3831,
LSO,Lesotho,dw,0,dw,0,0,1,0,14,
LBR,Liberia,1058,210,57,5524,751,41,37,7641,
LBY,Libya,189,16,34,23,32,2,0,296,
LTU,Lithuania,808,30,102,26,96,7,22,1069,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.6% of global US immigration in this year. See Russia for inclusion of this data."
LUX,Luxembourg,9,dw,18,0,0,dw,0,30,
MAC,Macau,40,93,22,dw,dw,0,0,158,
MKD,Macedonia,660,148,65,55,192,8,0,1128,
MDG,Madagascar,39,dw,11,dw,12,0,0,71,
MWI,Malawi,119,5,20,6,13,1,0,164,
MYS,Malaysia,850,99,751,287,24,3,0,2014,
MLI,Mali,338,6,20,110,36,66,0,576,
MLT,Malta,36,3,16,3,0,0,0,58,
MHL,Marshall Islands,38,3,7,0,0,0,21,48,
MTQ,Martinique,8,7,9,0,0,0,0,24,
MRT,Mauritania,76,dw,5,506,dw,4,0,597,
MUS,Mauritius,47,9,40,5,9,0,0,110,
MEX,Mexico,96187,57177,8660,466,12,2418,76,164920,
FSM,Federated States of Micronesia,10,0,6,0,0,0,0,16,
MDA,Moldova,582,34,93,969,240,377,0,2295,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.6% of global US immigration in this year. See Russia for inclusion of this data."
MNG,Mongolia,357,dw,88,233,146,dw,0,831,
MSR,Montserrat,28,dw,dw,0,0,0,0,43,
MAR,Morocco,2834,226,258,21,2100,8,19,5447,
