ISO,countryName,immediateRelative,familySponsored,employmentBased,refugeeAsylee,diversityLottery,other,adoptedOrphans,total,countryNote
AFG,Afghanistan,563,149,61,960,18,2,0,1753,
ALB,Albania,2078,150,78,2255,1174,2,0,5737,
DZA,Algeria,378,14,93,104,444,3,0,1036,
ASM,American Samoa,11,0,0,0,0,0,0,11,
AGO,Angola,77,28,34,60,0,0,0,199,
AIA,Anguilla,15,5,5,0,0,0,0,25,
ATG,Antigua and Barbuda,289,112,14,0,0,0,0,415,
ARG,Argentina,3208,222,1837,305,54,19,0,5645,
ARM,Armenia,820,113,153,2637,593,35,29,4351,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
ABW,Aruba,91,31,0,0,0,0,0,148,"Includes data for the Netherlands Antilles (dissolved in 2010), which accounted for less than 0.01% of global US immigration in this year. The included former country's data accounts for approximately 63% of the displayed Aruban data."
AUS,Australia,1475,74,708,3,246,12,0,2518,
AUT,Austria,234,11,187,6,39,8,0,485,
AZE,Azerbaijan,261,17,41,741,88,18,0,1166,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
BHS,Bahamas,582,72,54,5,6,19,0,738,
BHR,Bahrain,38,20,70,5,0,0,0,133,
BGD,Bangladesh,4108,3015,1165,475,3254,57,0,12074,
BRB,Barbados,432,184,65,0,4,4,0,689,
BLR,Belarus,785,41,170,680,490,162,0,2328,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.5% of global US immigration in this year. See Russia for inclusion of this data."
BEL,Belgium,315,22,264,11,24,2,0,638,
BLZ,Belize,738,262,60,5,3,5,0,1073,
BEN,Benin,75,dw,34,dw,125,0,0,258,
BMU,Bermuda,84,7,16,0,0,1,0,108,
BTN,Bhutan,9,dw,dw,38,0,0,0,52,
BOL,Bolivia,1363,254,815,63,85,10,0,2590,
BIH,Bosnia and Herzegovina,747,16,66,707,32,1,0,1569,
BWA,Botswana,29,dw,15,dw,dw,0,0,49,
BRA,Brazil,9255,372,4142,220,255,51,53,14295,
VGB,British Virgin Islands,27,dw,dw,0,0,0,0,40,
BRN,Brunei,12,dw,15,dw,0,0,0,32,
BGR,Bulgaria,1700,72,588,237,1368,16,19,3981,
BFA,Burkina Faso,130,4,23,32,45,4,0,238,
MMR,Burma,587,510,109,1774,148,2,0,3130,
BDI,Burundi,28,dw,10,214,dw,0,0,257,
KHM,Cambodia,3324,471,53,281,56,61,0,4246,
CMR,Cameroon,757,67,73,1563,923,9,11,3392,
CAN,Canada,7891,602,6674,42,56,230,0,15495,
CPV,Cape Verde,1090,944,5,dw,dw,3,0,2048,
CYM,Cayman Islands,30,7,3,0,0,0,0,40,
