ISO,countryName,immediateRelative,familySponsored,employmentBased,refugeeAsylee,diversityLottery,otherLPR,adoptedOrphans,total,countryNote
AFG,Afghanistan,1008,403,60,528,82,8446,0,10527,
ALB,Albania,1699,465,87,138,1426,13,0,3828,
DZA,Algeria,461,148,34,dw,1012,dw,0,1669,
AGO,Angola,77,23,10,25,13,0,0,148,
AIA,Anguilla,13,dw,dw,0,0,0,0,20,
ATG,Antigua and Barbuda,217,128,15,dw,dw,5,0,369,
ARG,Argentina,2245,206,1108,139,63,113,0,3874,
ARM,Armenia,967,317,113,292,1216,8,0,2913,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
ABW,Aruba,62,0,14,0,0,0,0,85,"Includes data for the Netherlands Antilles (dissolved in 2010), which accounted for less than 0.01% of global US immigration in this year. The included former country's data accounts for approximately 53% of the displayed Aruban data."
AUS,Australia,1565,77,743,dw,408,dw,0,2809,
AUT,Austria,207,34,155,dw,36,dw,0,438,
AZE,Azerbaijan,262,80,dw,70,201,dw,0,672,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
BHS,Bahamas,506,59,75,5,4,5,0,654,
BHR,Bahrain,37,16,47,17,dw,dw,0,122,
BGD,Bangladesh,5194,8709,560,114,dw,dw,17,14645,
BRB,Barbados,220,121,36,0,dw,dw,0,384,
BLR,Belarus,605,118,173,305,801,13,0,2015,"Does not include data for the former Soviet Union (dissolved in 1993), which accounted for less than 0.2% of global US immigration in this year. See Russia for inclusion of this data."
BEL,Belgium,282,27,284,8,28,3,0,632,
BLZ,Belize,497,224,42,dw,dw,18,0,789,
BEN,Benin,204,41,11,22,235,4,0,517,
BMU,Bermuda,73,dw,20,dw,0,dw,0,106,
BTN,Bhutan,25,8,dw,7254,8,dw,0,7298,
BOL,Bolivia,997,345,246,50,23,58,0,1719,
BIH,Bosnia and Herzegovina,476,45,49,85,38,0,0,693,
BWA,Botswana,32,dw,5,9,7,dw,0,58,
BRA,Brazil,7062,587,2410,180,10,180,10,10429,
VGB,British Virgin Islands,30,dw,0,dw,0,dw,0,56,
BRN,Brunei,dw,0,13,0,0,0,0,25,
BGR,Bulgaria,1454,179,292,36,1011,9,180,2981,
BFA,Burkina Faso,229,19,16,141,173,5,0,583,
MMR,Burma,575,452,68,9804,241,4,0,11144,
BDI,Burundi,42,3,15,170,43,0,0,273,
KHM,Cambodia,1626,450,61,20,372,7,0,2536,
CMR,Cameroon,1212,358,103,876,1381,13,0,3943,
CAN,Canada,5597,567,5121,49,49,203,0,11586,
CPV,Cabo Verde,600,544,dw,dw,4,dw,0,1154,
CYM,Cayman Islands,31,13,dw,0,dw,0,0,48,
CAF,Central African Republic,20,dw,3,128,0,dw,0,155,
TCD,Chad,23,5,dw,78,10,dw,0,119,
CHL,Chile,1010,156,326,39,19,31,0,1581,
CHN,China,24311,16320,22749,12514,22,173,2002,76089,
COL,Colombia,11425,4294,1444,825,11,176,155,18175,
COD,Democratic Republic of the Congo (Kinshasa),419,151,37,1473,2256,11,91,4347,
COG,Republic of the Congo (Brazzaville),96,10,10,322,108,6,0,552,
CRI,Costa Rica,1501,179,188,52,25,21,12,1966,
CIV,Cote d'Ivoire,544,121,39,337,406,30,0,1477,
HRV,Croatia,170,dw,52,18,40,dw,0,297,
